charger,x_coord,y_coord,Extra ports added
1024,-10897057.996285375,3535556.523598031,1.0
1027,-10887247.966159219,3547998.0951229394,1.0
1067,-10872275.494647522,3530725.0146090416,0.0
1071,-10882182.929328125,3523159.3504991652,2.0
1074,-10890337.08202873,3531369.1093669683,0.0
1078,-10891659.000981903,3531868.3053200683,0.0
1080,-10887178.391477471,3527392.34696966,0.0
1085,-10872484.21869276,3529871.6394641856,0.0
1088,-10871663.23744816,3530741.116579087,0.0
1090,-10872178.090093078,3529887.7403503056,0.0
1092,-10871997.19592054,3530628.4032183117,0.0
1096,-10871551.917957367,3530531.792563925,0.0
1097,-10887832.393485881,3530113.1549031013,0.0
1098,-10870438.723049434,3530000.4471257045,1.0
1100,-10886677.453768903,3531336.903851664,0.0
1104,-10877507.510714807,3528342.148507016,0.0
1115,-10874474.054590689,3531514.0351986187,0.0
1127,-10872484.21869276,3529871.6394641856,0.0
1128,-10871997.19592054,3530628.4032183117,0.0
1129,-10868782.845623884,3539342.4937292617,1.0
1134,-10871718.897193557,3547127.4312304426,2.0
1136,-10857511.747181065,3549965.371702002,1.0
1137,-10871649.32251181,3546031.125050524,0.0
1147,-10872484.21869276,3546192.3405791926,0.0
1157,-10866959.988962144,3551142.6592740566,0.0
1184,-10893913.220670465,3579527.6257338994,1.0
1191,-10876728.274279254,3560952.2865586337,0.0
1192,-10877744.064632742,3557934.3674413376,0.0
1235,-10871663.23744816,3530741.116579087,0.0
1238,-10868059.268933726,3560581.0596281937,2.0
1242,-10870146.509386102,3553029.7740278677,0.0
1243,-10869005.48460547,3555772.2390440707,0.0
1244,-10872164.17515673,3557208.2381648794,0.0
1245,-10871120.554930542,3556611.2298899298,1.0
1246,-10870703.106840068,3554400.9319579517,1.0
1247,-10870160.42432245,3552787.820458713,0.0
1248,-10871217.959484987,3556353.072910569,0.0
1253,-10870550.042540228,3552594.2609457094,0.0
1256,-10869186.378778009,3552223.2801824696,0.0
1267,-10877744.064632742,3557934.3674413376,0.0
1271,-10907355.049183754,3529646.229205474,2.0
1304,-10889975.293683654,3541050.578740198,1.0
1316,-10872275.494647522,3530725.0146090416,0.0
1321,-10870438.723049434,3530000.4471257045,0.0
1322,-10872484.21869276,3529871.6394641856,1.0
1324,-10871551.917957367,3530531.792563925,0.0
1331,-10870550.042540228,3552594.2609457094,0.0
1333,-10869186.378778009,3552223.2801824696,0.0
1337,-10877744.064632742,3557934.3674413376,0.0
1351,-10869005.48460547,3555772.2390440707,0.0
