charger,x_coord,y_coord,Ports
1,-10926430.816974942,3560373.7526442404,1.0
18,-10913830.816974942,3554073.7526442404,4.0
23,-10907530.816974942,3547773.7526442404,7.0
24,-10907530.816974942,3554073.7526442404,5.0
33,-10901230.816974942,3560373.7526442404,9.0
34,-10901230.816974942,3566673.7526442404,8.0
36,-10894930.816974942,3522573.7526442404,4.0
42,-10888630.816974942,3516273.7526442404,1.0
45,-10882330.816974942,3516273.7526442404,6.0
48,-10876030.816974942,3509973.7526442404,6.0
56,-10869730.816974942,3566673.7526442404,5.0
70,-10857130.816974942,3535173.7526442404,4.0
